"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"General.Dropdown.Option:Very high","Sehr hoch","Very high","Muy alto","Très haute","Nagyon magas","Molto alto","とても高い","매우 높음","Zeer hoog","Bardzo wysoka","Muito Alta","Очень высоко","非常高","非常高","Very high","En yüksek","Дуже висока","Velmi vysoká","Veľmi vysoká","สูงมาก","Foarte mare","","ﺍﺪﺟ ﻲﻟﺎﻋ","Sangat tinggi","Rất cao",""
"Shortcut.Modifier:Shift","Shift","Shift","Mayúsculas","Maj","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shift","","Shift","Shift","Shift",""
"Shortcut.Modifier:Ctrl","Ctrl","Ctrl","Control","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","","Ctrl","Ctrl","Ctrl",""
"Shortcut.Modifier:Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","","Alt","Alt","Alt",""
"Shortcut:Click","Linke Maustaste","Click","Clic","Clic","Klikk","Click","クリック","클릭","Klik","Klik","Clique","Клик","滑鼠左鍵","鼠标左键","Click","Tıklama","Клік","Klik","Klik","คลิก","Click","","Click","Klik","Nhấp",""
"Shortcut:RightClick","Rechte Maustaste","Right Click","Clic derecho","Clic droit","Jobb klikk","ClickDestro","右クリック","우클릭","Rechtermuisklik","PPM","Clique Direito","Правый Клик","滑鼠右鍵","鼠标右键","Right Click","Sağ tık","Правий Клік","Pravé tlačítko","Pravé tlačítko","คลิกขวา","Click Dreapta","","Right Click","Klik Kanan","Nhấp chuột phải",""
"Shortcut:MiddleClick","Mittlere Maustaste","Middle Click","Rueda del ratón","Bouton du milieu","Középső egérgomb","ClickCentrale","中クリック","휠클릭","Middelste muisklik","ŚPM","Clique do Meio","Средний Клик","滑鼠中鍵","鼠标中键","Middle Click","Orta tuş tıklaması","Середній Клік","Prostřední tlačítko","Stredné tlačítko","MiddleClick","Click Mijloc","","Middle Click","Klik Tengah","Nhấp giữa chuột",""
"Keybind.Esc:Cancel tool","Das Tool verlassen und TM:PE verstecken","Exit the tool and hide TM:PE","Cancelar herramienta","Annuler l'outil","Kilépés az eszközből és TM:PE elrejtése","Annulla strumento","ツールを終了してTM:PEを非表示にする","'취소' 도구 사용","Verlaat de tool en verberg TM:PE","Wyjdź i ukryj menu TM:PE","Sair da ferramenta e esconder o TM:PE","Покинуть текущий режим и закрыть меню TM:PE","結束此工具並隱藏 TM:PE","关闭工具并隐藏TM:PE","Exit the tool and hide TM:PE","İptal etme aracı","Скасувати поточний режим та закрити панель TM:PE","Ukončit současný nástroj a schovat Traffic Manager","Ukončiť nastroj a schovať Traffic Managera","ยกเลิกเครื่องมือ","Unealta de anulare","","TM:PE ﺀﺎﻔﺧﺈﺑ ﻢﻗﻭ ﺓﺍﺩﻷﺍ ﻦﻣ ﺝﺮﺧﺍ","Keluar dari alat dan tutupkan TM:PE","Thoát và ẩn công cụ",""
"Keybind.RightClick:Leave node","Rechtsklick: Ausgewähltes Segment verlassen","Leave the selected node","Salir del nodo","Quitte l'outil noeud","Csomópont elhagyása","Lascia nodo","選択したノードを残す","노드 선택 해제","Verlaat het geselecteerde punt","Odznacz wybrany węzeł","Sair do nó selecionado","Покинуть выбранный перекрёсток или узел","退出所選的節點","取消选择该节点","Leave selected node","Kavşaktan ayrıl","Залишити обране перехрестя або вузол","Pravé kliknutí zruší výběr zvoleného uzlu","Pravé tlačítko zruší výber zvoleného uzlu","ออกจาก node","Nod ieșire","","ﺓﺩﺪﺤﻤﻟﺍ ﺓﺪﻘﻌﻟﺍ ﻙﺮﺗﺍ","Keluar dari persimpangan","Bỏ chọn nút",""
"Keybind.RightClick:Leave segment","Das ausgewählte Segment verlassen","Leave the selected segment","Salir del segmento","Quitter le segment","Szegmens elhagyása","Lascia segmento","選択したセグメントを残す","구간 선택 해제","Verlaat segment","Odznacz wybrany segment","Sair do segmento selecionado","Покинуть выбранный сегмент дороги","退出所選的路段","取消选择该路段","Leave selected segment","Bu parçadan ayrıl","Залишити обраний сегмент шляху","Pravé kliknutí zruší výběr zvoleného segmentu","Pravé tlačítko zruší výber zvoleného segmentu","ออกจาก segment","Segment de ieșire","","ﺩﺪﺤﻤﻟﺍ ﻊﻄﻘﻤﻟﺍ ﻙﺮﺗﺍ","Keluar dari ruas","Bỏ chọn đoạn đường",""
"Keybind.RightClick:Leave lane","Die ausgewählte Fahrspur verlassen","Leave selected lane","Salir del carril","Quitter la voie de circulation ou d'intersection","Sáv elhagyása","Lascia corsia","選択した車線をそのままにする","차선 선택 해제","Verlaat geselecteerde lijn","Odznacz wybrany pas","Sair da faixa selecionada","Покинуть режим редактирования полосы","退出車道","取消选择该车道","Leave selected lane","Şeritten ayrıl","Залишити обрану смугу руху","Opustit pruh","Opustiť pruh","ออกจาก lane","Bandă de ieșire","","ﺩﺪﺤﻤﻟﺍ ﺭﺎﺴﻤﻟﺍ ﻙﺮﺗﺍ","Keluar dari lajur","Bỏ chọn làn",""
"Roundabout.Option:Yielding vehicles keep clear of blocked roundabout","Kreisverkehr freihalten und Vorfahrt gewähren","Yielding vehicles keep clear of blocked roundabout","Vehículos cediendo paso no bloquean la rotonda","Au rond-point, restez à l'écart pour céder le passage","Elsőbbségadásra kötelezett járművek távol maradnak a telített körforgalomtól","I veicoli cedevoli si tengono lontani dalle rotonde bloccate","非優先道路の迂回路を避ける","회전교차로가 막히면 양보 차량 접근 금지","Voertuigen met voorrang blijven buiten geblokkeerde rotondes","Oczekujące pojazdy nie wjeżdżają na zablokowane rondo","Carros em espera devem esperar o bloqueio na rotatória","Уступающие не въезжают на заблокированную кольцевую развязку","禮讓圓環內的車輛以淨空堵塞的圓環","驶入环岛的车辆不能驶入堵塞的环岛排队","Yielding vehicles keep clear of blocked roundabout","Gelen araçlar tıkanık göbeğe girmez","Транспорт, який уступає дорогу, чекає перед перехрестям","Vozidla dávající přednost v jízdě se vyhnou plnému kruhovému objezdu","Vozidlá sa vyhýbajú zablokovaniu kruhového objazdu","ยานพาหนะที่ให้ทางให้หลีกเลี่ยงวงเวียนที่ถูกปิดกั้น","Vehiculele care cedează prioritatea nu intră în rond","","ﺩﻭﺪﺴﻤﻟﺍ ﺭﺍﻭﺪﻟﺍ ﻦﻋ ﺔﻠﻣﺎﺨﻟﺍ ﺕﺎﺒﻛﺮﻤﻟﺍ ﺪﻌﺘﺒﺗ","Kendaraan yg memberi jalan jangan masuk ke bundaran yang diblokir","Phương tiện nhường đường tránh xa các vòng xuyến bị chặn",""
"Roundabout.Tooltip:Yielding vehicles keep clear of blocked roundabout","Der Einfahrtsbereich in den Kreisverkehr wird freigehalten und die Fahrzeuge im Kreisverkehr haben Vorfahrt","If enabled, cars entering the roundabout will not enter blocked roundabout to avoid getting in the way of cars inside of the roundabout.
If disabled, traffic rule is untouched.","Vehículos cediendo paso no bloquean la rotonda","Au rond-point, restez à l'écart pour céder le passage","Ha engedélyezve van, akkor a körforgalomba tartó autók nem lépnek be a telített körforgalomba, hogy ne akadályozzák a körforgalomban lévő autókat.
Ha le van tiltva, a közlekedési szabály érintetlen.","I veicoli cedevoli si tengono lontani dalle rotonde bloccate","有効になっている場合、ラウンドアバウト交差点内の車の邪魔にならないように、ブロックされたときにラウンドアバウト交差点に入る車はラウンドアバウト交差点に入りません。
無効にすると、交通ルールは変更されません","켜면, 막힌 회전교차로에 진입하는 차량은 회전교차로 내부 차량을 방해하지 않도록 더 이상 진입하지 않습니다.
끄면, 기존의 교통 규칙을 유지합니다.","Voertuigen met voorrang blijven buiten geblokkeerde rotondes","Jeśli włączone pojazdy nie będą próbowały wjechać na zablokowane rondo co mogłoby tamować ruch na rondzie.\nJeśli wyłączone, aktualne ustawienie nie zostanie zmienione.","Caso habilitado, carros ao entrar a rotatória não irão furar o bloqueio de tráfego na rotatória.
Caso desabilitado, a regra de tráfego permanecerá intacta.","Уступающие не въезжают на заблокированную кольцевую развязку","禮讓圓環內的車輛以淨空堵塞的圓環","如果启用, 即将驶入环岛的车辆将不会驶入堵塞的环岛排队, 以免妨碍环岛内车辆行驶.\n如果禁用, 交通规则将不受影响.","If enabled, cars entering the roundabout will not enter blocked roundabout to avoid getting in the way of cars inside of the roundabout.
If disabled, traffic rule is untouched.","Gelen araçlar Tıkanık göbekten kaçınır","Транспорт, який уступає дорогу, чекає перед заблокованим перехрестям","Vozidla dávající přednost v jízdě se vyhnou plnému kruhovému objezdu","Vozidlá sa vyhýbajú zablokovaniu kruhového objazdu","ยานพาหนะที่ให้ทางให้หลีกเลี่ยงวงเวียนที่ถูกปิดกั้น","Vehiculele care cedează prioritatea nu intră pe drumuri blocate","","ﻝﺎﺠﻤﻟﺍ ﺢﺴﻔﺘﻟ ﺪﻌﺘﺑﺍ ، ﺭﺍﻭﺪﻟﺍ ﺪﻨﻋ","Jika aktif, kendaraan yang masuk ke bundaraan tidak akan masuk bundaran yang diblokir agar tidak berada di dalam jalannya kendaraan lainnya pada bundaran.
Jika mati, aturan lalu lintas tidak disentuh.","Nếu bật, xe tiến đến vòng xuyến sẽ không đi vào vòng xuyến bị chặn để tránh cản đường xe di chuyển bên trong vòng xuyến.
Nếu tắt, các quy tắc được giữ nguyên.",""
"Roundabout.Option:Assign realistic speed limits to roundabouts","Kreisverkehren realistische Geschwindigkeitsbegrenzungen zuweisen","Assign realistic speed limits to roundabouts","Asigna límites de velocidad realistas a las rotondas","Attribuer des limites de vitesse réalistes aux ronds-points","Reális sebességkorlátozások hozzárendelése a körforgalmakhoz","Assegna limiti di velocità realistici alle rotonde","ラウンドアバウト交差点に現実的な速度制限を割り当てる","회전교차로에 현실적인 속도 제한 부여","Geef rotondes een realistische snelheidlimiet","Ustaw relistyczne limity prędkości na rondzie","Atribuir limites de velocidade realistas para rotatórias","Задать реалистичное ограничение скорости для кругового движения","在圓環內套用較實際的速限","为环岛设置真实的速度上限","Assign realistic speed limits to roundabouts","Dönel kavşaklara gerçekçi hız limitleri ayarla","Реалістичні обмеження швидкості для кругових перехресть","Přiřadit realistické rychlosti pro kruhový objezd","Priradiť realistický rýchlostný limit pre kruhové objazdy","กําหนดขีด จํากัด ความเร็วที่สมจริงให้กับวงเวียน","Atribuie realistic limitele de viteză într-un rond","","ﺔﻳﺮﺋﺍﺪﻟﺍ ﺕﺎﻌﻃﺎﻘﺘﻠﻟ ﺔﻴﻌﻗﺍﻭ ﺔﻋﺮﺳ ﺩﻭﺪﺣ ﻦﻴﻋ","Terapkan batas kecepatan realistis pada bundaran","Gán giới hạn tốc độ thực tế cho vòng xuyến",""
"Roundabout.Tooltip:Assign realistic speed limits to roundabouts","Kreisverkehren realistische Geschwindigkeitsbegrenzungen zuweisen","reducing roundabout speed might reduce risk of accident in real word but does not boost traffic flow in this game.\n
This option is only for the purpose of adding realism to the game. ","Reducir velocidades en la rotonda reduce el riesgo de accidentes en la vida real pero no ayuda con el flujo de tráfico.\nEsta opción es solo para agregar realismo al juego.","Attribuer des limites de vitesse réalistes aux ronds-points","A körforgalom sebességének csökkentése csökkentheti a balesetveszélyt a való életben, de visszafogja a forgalmat ebben a játékban. \n
Ez az opció a nagyobb valósághűség lehetősége miatt került bele a játékba.","Assegna limiti di velocità realistici alle rotonde","ラウンドアバウト交差点の速度を下げると、実際の事故のリスクが減る可能性がありますが、このゲームの交通量は増えません。\n
このオプションは、ゲームにリアリズムを追加することのみを目的としています。","회전교차로 내 속도를 줄이면 실제 세계에서는 사고의 위험을 줄일 수 있지만 게임 내에서는 교통 흐름이 개선되는 효과를 가져다 주지 못합니다.\n
이 설정은 게임에 사실감을 더하기 위한 목적으로만 쓰입니다.","Geef rotondes een realistische snelheidlimiet","Obniżenie limitu prędkości w rzeczywistości może zredukować ryzyko wypadków, ale niestety nie poprawi ono płynności ruchu w grze.\n Opcja tylko w celu zwiększenia relizmu w grze.","Atribuir limites de velocidade realistas para rotatórias","Задать реалистичное ограничение скорости для кругового движения","在圓環內套用較實際的速限","为环岛设置真实的速度上限","Reducing roundabout speed might reduce risk of accident in real word\n
but does not boost traffic flow in this game.\n
This option is only for the purpose of adding realism to the game.","Dönel kavşaklara gerçekçi hız limitleri ayarla","Реалістичні обмеження швидкості для кругових перехресть","Nastaví realistické rychlosti pro kruhový objezd","Nastaví sa realistické rýchlostné obmedzenie pre kruhové objazdy","กําหนดขีด จํากัด ความเร็วที่สมจริงให้กับวงเวียน","Atribuie realistic limitele de viteză într-un rond","","ﻊﻗﺍﻮﻟﺍ ﻲﻓ ﺙﺩﺎﺣ ﻉﻮﻗﻭ ﺮﻃﺎﺨﻣ ﻞﻴﻠﻘﺗ ﻰﻟﺇ ﻥﺍﺭﻭﺪﻟﺍ ﺔﻋﺮﺳ ﻞﻴﻠﻘﺗ ﻱﺩﺆﻳ ﺪﻗ\n.ﺔﺒﻌﻠﻟﺍ ﻩﺬﻫ ﻲﻓ ﺭﻭﺮﻤﻟﺍ ﺔﻛﺮﺣ ﻖﻓﺪﺗ ﺯﺰﻌﻳ ﻻ ﻪﻨﻜﻟﻭ\n.ﺔﺒﻌﻠﻟﺍ ﻰﻟﺇ ﺔﻴﻌﻗﺍﻮﻟﺍ ﺔﻓﺎﺿﺇ ﺽﺮﻐﻟ ﻂﻘﻓ ﻮﻫ ﺭﺎﻴﺨﻟﺍ ﺍﺬﻫ","Mengurangi batas kecepatan bundaran mungkin dapat mengurangi risiko kecelakaan pada dunia nyata tapi tidak mendorong aliran lalu lintas pada game ini.
Opsi ini hanya sekadar menambah realisme kepada game.","Gán giới hạn tốc độ thực tế cho vòng xuyến",""
